dP,m,n,esc,pfil,ps,A,Cs,t,V,lm,km0,gx,meio
6.00E+05,4.51,0.17,0.552,1.04E+03,2808,2.29E-03,1.33E-04,1200,1.22E-05,6.35E-03,1.48E-11,0.4,120
6.00E+05,4.51,0.17,0.552,1.04E+03,2808,2.29E-03,1.33E-04,1500,1.29E-05,6.35E-03,1.48E-11,0.4,120
6.00E+05,4.51,0.17,0.552,1.04E+03,2808,2.29E-03,1.33E-04,1800,1.35E-05,6.35E-03,1.48E-11,0.4,120
8.00E+05,3.88,0.18,0.508,1.00E+03,2808,2.29E-03,1.33E-04,60,7.40E-06,6.35E-03,1.48E-11,0.4,120
8.00E+05,3.88,0.18,0.508,1.00E+03,2808,2.29E-03,1.33E-04,300,9.60E-06,6.35E-03,1.48E-11,0.4,120
8.00E+05,3.88,0.18,0.508,1.00E+03,2808,2.29E-03,1.33E-04,600,1.11E-05,6.35E-03,1.48E-11,0.4,120
8.00E+05,3.88,0.18,0.508,1.00E+03,2808,2.29E-03,1.33E-04,900,1.25E-05,6.35E-03,1.48E-11,0.4,120
8.00E+05,3.88,0.18,0.508,1.00E+03,2808,2.29E-03,1.33E-04,1200,1.37E-05,6.35E-03,1.48E-11,0.4,120
8.00E+05,3.88,0.18,0.508,1.00E+03,2808,2.29E-03,1.33E-04,1500,1.47E-05,6.35E-03,1.48E-11,0.4,120
8.00E+05,3.88,0.18,0.508,1.00E+03,2808,2.29E-03,1.33E-04,1800,1.55E-05,6.35E-03,1.48E-11,0.4,120
1.00E+06,3.78,0.18,0.773,1.02E+03,2808,2.29E-03,1.33E-04,60,8.07E-06,6.35E-03,1.48E-11,0.4,120
1.00E+06,3.78,0.18,0.773,1.02E+03,2808,2.29E-03,1.33E-04,300,1.05E-05,6.35E-03,1.48E-11,0.4,120
1.00E+06,3.78,0.18,0.773,1.02E+03,2808,2.29E-03,1.33E-04,600,1.23E-05,6.35E-03,1.48E-11,0.4,120
1.00E+06,3.78,0.18,0.773,1.02E+03,2808,2.29E-03,1.33E-04,900,1.36E-05,6.35E-03,1.48E-11,0.4,120
1.00E+06,3.78,0.18,0.773,1.02E+03,2808,2.29E-03,1.33E-04,1200,1.49E-05,6.35E-03,1.48E-11,0.4,120
1.00E+06,3.78,0.18,0.773,1.02E+03,2808,2.29E-03,1.33E-04,1500,1.61E-05,6.35E-03,1.48E-11,0.4,120
1.00E+06,3.78,0.18,0.773,1.02E+03,2808,2.29E-03,1.33E-04,1800,1.70E-05,6.35E-03,1.48E-11,0.4,120
1.20E+06,4.01,0.18,0.535,9.67E+02,2808,2.29E-03,1.33E-04,60,8.53E-06,6.35E-03,1.48E-11,0.4,120
1.20E+06,4.01,0.18,0.535,9.67E+02,2808,2.29E-03,1.33E-04,300,1.14E-05,6.35E-03,1.48E-11,0.4,120
1.20E+06,4.01,0.18,0.535,9.67E+02,2808,2.29E-03,1.33E-04,600,1.35E-05,6.35E-03,1.48E-11,0.4,120
1.20E+06,4.01,0.18,0.535,9.67E+02,2808,2.29E-03,1.33E-04,900,1.49E-05,6.35E-03,1.48E-11,0.4,120
1.20E+06,4.01,0.18,0.535,9.67E+02,2808,2.29E-03,1.33E-04,1200,1.63E-05,6.35E-03,1.48E-11,0.4,120
1.20E+06,4.01,0.18,0.535,9.67E+02,2808,2.29E-03,1.33E-04,1500,1.77E-05,6.35E-03,1.48E-11,0.4,120
1.20E+06,4.01,0.18,0.535,9.67E+02,2808,2.29E-03,1.33E-04,1800,1.89E-05,6.35E-03,1.48E-11,0.4,120
1.40E+06,3.78,0.19,0.594,1.01E+03,2808,2.29E-03,1.33E-04,60,1.28E-05,6.35E-03,1.48E-11,0.4,120
